"Date","TV","Radio","Newspaper","Sales"
"10/8/2015","202.5","22.3","31.6","16.6"
"10/15/2015","177","33.4","38.7","17.1"
"10/22/2015","293.6","27.7","1.8","20.7"
"10/29/2015","206.9","8.4","26.4","12.9"
"11/5/2015","25.1","25.7","43.3","8.5"
"11/12/2015","175.1","22.5","31.5","14.9"
"11/19/2015","89.7","9.9","35.7","10.6"
"11/26/2015","239.9","41.5","18.5","23.2"
"12/3/2015","227.2","15.8","49.9","14.8"
"12/10/2015","66.9","11.7","36.8","9.7"
"12/17/2015","199.8","3.1","34.6","11.4"
"12/24/2015","100.4","9.6","3.6","10.7"
"12/31/2015","216.4","41.7","39.6","22.6"
"1/7/2016","182.6","46.2","58.7","21.2"
"1/14/2016","262.7","28.8","15.9","20.2"
"1/21/2016","198.9","49.4","60","23.7"
"1/28/2016","7.3","28.1","41.4","5.5"
"2/4/2016","136.2","19.2","16.6","13.2"
"2/11/2016","210.8","49.6","37.7","23.8"
"2/18/2016","210.7","29.5","9.3","18.4"
"2/25/2016","53.5","2","21.4","8.1"
"3/3/2016","261.3","42.7","54.7","24.2"
"3/10/2016","239.3","15.5","27.3","15.7"
"3/17/2016","102.7","29.6","8.4","14"
"3/24/2016","131.1","42.8","28.9","18"
"3/31/2016","69","9.3","0.9","9.3"
"4/7/2016","31.5","24.6","2.2","9.5"
"4/14/2016","139.3","14.5","10.2","13.4"
"4/21/2016","237.4","27.5","11","18.9"
"4/28/2016","216.8","43.9","27.2","22.3"
"5/5/2016","199.1","30.6","38.7","18.3"
"5/12/2016","109.8","14.3","31.7","12.4"
"5/19/2016","26.8","33","19.3","8.8"
"5/26/2016","129.4","5.7","31.3","11"
"6/2/2016","213.4","24.6","13.1","17"
"6/9/2016","16.9","43.7","89.4","8.7"
"6/16/2016","27.5","1.6","20.7","6.9"
"6/23/2016","120.5","28.5","14.2","14.2"
"6/30/2016","5.4","29.9","9.4","5.3"
"7/7/2016","116","7.7","23.1","11"
"7/14/2016","76.4","26.7","22.3","11.8"
"7/21/2016","239.8","4.1","36.9","12.3"
"7/28/2016","75.3","20.3","32.5","11.3"
"8/4/2016","68.4","44.5","35.6","13.6"
"8/11/2016","213.5","43","33.8","21.7"
"8/18/2016","193.2","18.4","65.7","15.2"
"8/25/2016","76.3","27.5","16","12"
"9/1/2016","110.7","40.6","63.2","16"
"9/8/2016","88.3","25.5","73.4","12.9"
"9/15/2016","109.8","47.8","51.4","16.7"
"9/22/2016","134.3","4.9","9.3","11.2"
"9/29/2016","28.6","1.5","33","7.3"
"10/6/2016","217.7","33.5","59","19.4"
"10/13/2016","250.9","36.5","72.3","22.2"
"10/20/2016","107.4","14","10.9","11.5"
"10/27/2016","163.3","31.6","52.9","16.9"
"11/3/2016","197.6","3.5","5.9","11.7"
"11/10/2016","184.9","21","22","15.5"
"11/17/2016","289.7","42.3","51.2","25.4"
"11/24/2016","135.2","41.7","45.9","17.2"
"12/1/2016","222.4","4.3","49.8","11.7"
"12/8/2016","296.4","36.3","100.9","23.8"
"12/15/2016","280.2","10.1","21.4","14.8"
"12/22/2016","187.9","17.2","17.9","14.7"
"12/29/2016","238.2","34.3","5.3","20.7"
"1/5/2017","137.9","46.4","59","19.2"
"1/12/2017","25","11","29.7","7.2"
"1/19/2017","90.4","0.3","23.2","8.7"
"1/26/2017","13.1","0.4","25.6","5.3"
"2/2/2017","255.4","26.9","5.5","19.8"
"2/9/2017","225.8","8.2","56.5","13.4"
"2/16/2017","241.7","38","23.2","21.8"
"2/23/2017","175.7","15.4","2.4","14.1"
"3/2/2017","209.6","20.6","10.7","15.9"
"3/9/2017","78.2","46.8","34.5","14.6"
"3/16/2017","75.1","35","52.7","12.6"
"3/23/2017","139.2","14.3","25.6","12.2"
"3/30/2017","76.4","0.8","14.8","9.4"
"4/6/2017","125.7","36.9","79.2","15.9"
"4/13/2017","19.4","16","22.3","6.6"
"4/20/2017","141.3","26.8","46.2","15.5"
"4/27/2017","18.8","21.7","50.4","7"
"5/4/2017","224","2.4","15.6","11.6"
"5/11/2017","123.1","34.6","12.4","15.2"
"5/18/2017","229.5","32.3","74.2","19.7"
"5/25/2017","87.2","11.8","25.9","10.6"
"6/1/2017","7.8","38.9","50.6","6.6"
"6/8/2017","80.2","0","9.2","8.8"
"6/15/2017","220.3","49","3.2","24.7"
"6/22/2017","59.6","12","43.1","9.7"
"6/29/2017","0.7","39.6","8.7","1.6"
"7/6/2017","265.2","2.9","43","12.7"
"7/13/2017","8.4","27.2","2.1","5.7"
"7/20/2017","219.8","33.5","45.1","19.6"
"7/27/2017","36.9","38.6","65.6","10.8"
"8/3/2017","48.3","47","8.5","11.6"
"8/10/2017","25.6","39","9.3","9.5"
"8/17/2017","273.7","28.9","59.7","20.8"
"8/24/2017","43","25.9","20.5","9.6"
"8/31/2017","184.9","43.9","1.7","20.7"
"9/7/2017","73.4","17","12.9","10.9"
"9/14/2017","193.7","35.4","75.6","19.2"
"9/21/2017","220.5","33.2","37.9","20.1"
"9/28/2017","104.6","5.7","34.4","10.4"
"10/5/2017","96.2","14.8","38.9","11.4"
"10/12/2017","140.3","1.9","9","10.3"
"10/19/2017","240.1","7.3","8.7","13.2"
"10/26/2017","243.2","49","44.3","25.4"
"11/2/2017","38","40.3","11.9","10.9"
"11/9/2017","44.7","25.8","20.6","10.1"
"11/16/2017","280.7","13.9","37","16.1"
"11/23/2017","121","8.4","48.7","11.6"
"11/30/2017","197.6","23.3","14.2","16.6"
"12/7/2017","171.3","39.7","37.7","19"
"12/14/2017","187.8","21.1","9.5","15.6"
"12/21/2017","4.1","11.6","5.7","3.2"
"12/28/2017","93.9","43.5","50.5","15.3"
"1/4/2018","149.8","1.3","24.3","10.1"
"1/11/2018","11.7","36.9","45.2","7.3"
"1/18/2018","131.7","18.4","34.6","12.9"
"1/25/2018","172.5","18.1","30.7","14.4"
"2/1/2018","85.7","35.8","49.3","13.3"
"2/8/2018","188.4","18.1","25.6","14.9"
"2/15/2018","163.5","36.8","7.4","18"
"2/22/2018","117.2","14.7","5.4","11.9"
"3/1/2018","234.5","3.4","84.8","11.9"
"3/8/2018","17.9","37.6","21.6","8"
"3/15/2018","206.8","5.2","19.4","12.2"
"3/22/2018","215.4","23.6","57.6","17.1"
"3/29/2018","284.3","10.6","6.4","15"
"4/5/2018","50","11.6","18.4","8.4"
"4/12/2018","164.5","20.9","47.4","14.5"
"4/19/2018","19.6","20.1","17","7.6"
"4/26/2018","168.4","7.1","12.8","11.7"
"5/3/2018","222.4","3.4","13.1","11.5"
"5/10/2018","276.9","48.9","41.8","27"
"5/17/2018","248.4","30.2","20.3","20.2"
"5/24/2018","170.2","7.8","35.2","11.7"
"5/31/2018","276.7","2.3","23.7","11.8"
"6/7/2018","165.6","10","17.6","12.6"
"6/14/2018","156.6","2.6","8.3","10.5"
"6/21/2018","218.5","5.4","27.4","12.2"
"6/28/2018","56.2","5.7","29.7","8.7"
"7/5/2018","287.6","43","71.8","26.2"
"7/12/2018","253.8","21.3","30","17.6"
"7/19/2018","205","45.1","19.6","22.6"
"7/26/2018","139.5","2.1","26.6","10.3"
"8/2/2018","191.1","28.7","18.2","17.3"
"8/9/2018","286","13.9","3.7","15.9"
"8/16/2018","18.7","12.1","23.4","6.7"
"8/23/2018","39.5","41.1","5.8","10.8"
"8/30/2018","75.5","10.8","6","9.9"
"9/6/2018","17.2","4.1","31.6","5.9"
"9/13/2018","166.8","42","3.6","19.6"
"9/20/2018","149.7","35.6","6","17.3"
"9/27/2018","38.2","3.7","13.8","7.6"
"10/4/2018","94.2","4.9","8.1","9.7"
"10/11/2018","177","9.3","6.4","12.8"
"10/18/2018","283.6","42","66.2","25.5"
"10/25/2018","232.1","8.6","8.7","13.4"
